nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,"fecha y hora salida","fecha y hora llegada",equipaje,asiento,"fecha reserva",precio_final,pago
Fernanda,"Masias Rosinelli",f.masias@hotmail.com,Easyfly,SCL,GRU,"1 escala","2023-01-12 07:41:25","2023-01-27 12:17:08",basico,Aleatorio,2022-12-28,680,"tarjeta debito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,LATAM,VVI,VVI,"1 escala","2023-01-06 08:18:51","2023-01-22 00:04:57",basico,Aleatorio,2022-12-28,751,paypal
Hortensia,"Breache Isham",hisham1m@t.co,GOL,EZE,GRU,"1 escala","2023-01-10 18:49:30","2023-01-13 08:52:18",basico,Aleatorio,2022-12-28,475,paypal
Dimitri,"Guille Arter",darteri@europa.eu,Easyfly,VVI,GRU,"2 escalas","2023-02-27 22:58:45","2023-02-15 11:50:36",basico,Aleatorio,2022-12-28,353,"tarjeta de credito"
Jerry,"Duffitt Covill",jcovillh@etsy.com,"SKY Airline",UIO,UIO,"3 escalas","2023-02-22 18:39:07","2023-02-15 05:18:46",basico,Aleatorio,2022-12-28,305,"tarjeta debito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,LATAM,LIM,LIM,"2 escalas","2023-02-03 11:38:20","2023-02-05 02:40:03",basico,Aleatorio,2022-12-28,267,"tarjeta debito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,GOL,VVI,GRU,"3 escalas","2023-03-05 14:15:04","2023-03-28 13:43:40",basico,Aleatorio,2022-12-28,678,"tarjeta de credito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,JetSmart,UIO,GRU,"2 escalas","2023-03-22 16:01:38","2023-03-18 07:05:18",basico,Aleatorio,2022-12-28,483,"tarjeta de credito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,LATAM,EZE,SCL,"sin escalas","2023-03-05 10:19:39","2023-03-16 12:22:41",basico,Aleatorio,2022-12-28,542,"tarjeta de credito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,"SKY Airline",VVI,BOG,"sin escalas","2023-03-26 07:21:17","2023-03-12 05:40:10",basico,Aleatorio,2022-12-28,775,"tarjeta debito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,GOL,GRU,BOG,"3 escalas","2023-03-10 06:51:14","2023-03-05 19:13:03",basico,Aleatorio,2022-12-28,351,paypal
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,LATAM,LIM,UIO,"1 escala","2023-03-18 23:53:52","2023-03-29 10:33:52",basico,Aleatorio,2022-12-28,626,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,EZE,LIM,"1 escala","2023-01-23 07:16:43","2023-01-13 14:07:38",posterior+mano,Posterior,2022-12-28,719,"tarjeta de credito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,Easyfly,BOG,UIO,"1 escala","2023-01-12 08:47:36","2023-01-02 23:16:35",posterior+mano,Posterior,2022-12-28,264,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,GOL,VVI,VVI,"2 escalas","2023-01-12 16:41:03","2023-01-14 14:30:51",posterior+mano,Posterior,2022-12-28,749,"tarjeta debito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,LIM,UIO,"sin escalas","2023-02-17 07:21:51","2023-02-12 07:28:11",posterior+mano,Posterior,2022-12-28,291,"tarjeta de credito"
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,GOL,UIO,SCL,"3 escalas","2023-02-20 22:32:07","2023-02-08 21:06:05",posterior+mano,Posterior,2022-12-28,588,paypal
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,EZE,BOG,"sin escalas","2023-02-19 14:46:11","2023-02-21 07:14:53",posterior+mano,Posterior,2022-12-28,798,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,GOL,LIM,LIM,"3 escalas","2023-02-22 07:36:06","2023-02-10 22:08:41",posterior+mano,Posterior,2022-12-28,460,"tarjeta de credito"
Rabbi,"Rydzynski Laddle",rladdleo@usgs.gov,GOL,LIM,EZE,"3 escalas","2023-02-09 03:53:42","2023-02-19 06:33:33",posterior+mano,Posterior,2022-12-28,280,"tarjeta de credito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,LATAM,SCL,UIO,"2 escalas","2023-02-25 07:12:09","2023-02-04 14:47:58",posterior+mano,Posterior,2022-12-28,723,paypal
Dena,"Lamy Duffer",dduffer9@typepad.com,Easyfly,EZE,EZE,"1 escala","2023-02-08 05:06:51","2023-02-11 19:50:54",posterior+mano,Posterior,2022-12-28,341,"tarjeta de credito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,Easyfly,SCL,LIM,"sin escalas","2023-03-06 22:03:24","2023-03-09 10:23:35",posterior+mano,Posterior,2022-12-28,586,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,UIO,UIO,"sin escalas","2023-03-21 00:34:16","2023-03-01 02:54:22",posterior+mano,Posterior,2022-12-28,416,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,GOL,LIM,BOG,"sin escalas","2023-03-20 23:17:32","2023-03-04 08:20:05",posterior+mano,Posterior,2022-12-28,360,paypal
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,"SKY Airline",EZE,SCL,"2 escalas","2023-03-02 03:39:34","2023-03-04 21:12:36",posterior+mano,Posterior,2022-12-28,719,"tarjeta debito"
Dimitri,"Guille Arter",darteri@europa.eu,Easyfly,VVI,LIM,"sin escalas","2023-03-06 09:01:52","2023-03-15 07:32:38",posterior+mano,Posterior,2022-12-28,513,paypal
Mariana,"Hoyos Saavedra",marianita@gmail.com,GOL,VVI,EZE,"2 escalas","2023-01-20 15:29:09","2023-01-18 22:40:16",basico+carry_on,Aleatorio,2022-12-28,494,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,JetSmart,BOG,BOG,"sin escalas","2023-01-10 00:56:35","2023-01-10 11:54:35",basico+carry_on,Aleatorio,2022-12-28,886,"tarjeta debito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,Easyfly,EZE,VVI,"3 escalas","2023-01-05 05:30:42","2023-01-08 08:06:10",basico+carry_on,Aleatorio,2022-12-28,598,"tarjeta debito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,JetSmart,LIM,BOG,"2 escalas","2023-02-04 06:21:31","2023-02-19 05:10:27",basico+carry_on,Aleatorio,2022-12-28,695,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,LIM,VVI,"3 escalas","2023-02-08 03:59:41","2023-02-17 11:05:24",basico+carry_on,Aleatorio,2022-12-28,701,"tarjeta de credito"
Camila,"Alvarez Cueva",camila_24@hotmail.com,"SKY Airline",VVI,UIO,"2 escalas","2023-03-13 02:55:07","2023-03-21 04:34:33",basico+carry_on,Aleatorio,2022-12-28,716,"tarjeta debito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,LATAM,LIM,BOG,"1 escala","2023-03-26 00:12:54","2023-03-21 14:07:04",basico+carry_on,Aleatorio,2022-12-28,331,paypal
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,LATAM,VVI,GRU,"2 escalas","2023-03-20 07:10:21","2023-03-11 01:10:05",basico+carry_on,Aleatorio,2022-12-28,835,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,JetSmart,SCL,BOG,"sin escalas","2023-03-24 09:42:51","2023-03-12 01:12:45",basico+carry_on,Aleatorio,2022-12-28,782,"tarjeta de credito"
Mart,"Scruby Orrocks",morrockse@ameblo.jp,LATAM,SCL,LIM,"sin escalas","2023-03-21 16:53:45","2023-03-15 13:54:00",basico+carry_on,Aleatorio,2022-12-28,342,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,LATAM,VVI,GRU,"sin escalas","2023-03-23 14:27:35","2023-03-01 23:09:24",basico+carry_on,Aleatorio,2022-12-28,749,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,Easyfly,UIO,GRU,"sin escalas","2023-03-04 08:43:21","2023-03-14 08:18:17",basico+carry_on,Aleatorio,2022-12-28,336,"tarjeta de credito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,GOL,GRU,EZE,"3 escalas","2023-01-03 11:29:33","2023-01-19 10:25:22",basico+carry_on+grande,Aleatorio,2022-12-28,462,paypal
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,"SKY Airline",LIM,EZE,"2 escalas","2023-01-20 14:19:25","2023-01-19 09:27:01",basico+carry_on+grande,Aleatorio,2022-12-28,834,paypal
Channa,"Durban Whyard",cwhyard1e@timesonline.co.uk,Easyfly,GRU,SCL,"1 escala","2023-02-02 10:09:32","2023-02-03 10:25:05",basico+carry_on+grande,Aleatorio,2022-12-28,420,"tarjeta de credito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,GOL,UIO,UIO,"1 escala","2023-02-08 04:24:01","2023-02-05 15:00:00",basico+carry_on+grande,Aleatorio,2022-12-28,827,paypal
Mariana,"Hoyos Saavedra",marianita@gmail.com,GOL,VVI,GRU,"sin escalas","2023-02-27 16:29:18","2023-02-11 21:53:01",basico+carry_on+grande,Aleatorio,2022-12-28,803,"tarjeta debito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,LATAM,BOG,SCL,"1 escala","2023-03-29 07:03:14","2023-03-26 17:33:16",basico+carry_on+grande,Aleatorio,2022-12-28,649,"tarjeta de credito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,Easyfly,EZE,SCL,"1 escala","2023-03-06 20:24:58","2023-03-13 04:15:06",basico+carry_on+grande,Aleatorio,2022-12-28,812,paypal
Manda,"Crumbie Paudin",mpaudinq@imdb.com,Easyfly,EZE,VVI,"2 escalas","2023-03-29 17:38:02","2023-03-11 10:19:16",basico+carry_on+grande,Aleatorio,2022-12-28,648,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,Easyfly,EZE,GRU,"2 escalas","2023-03-26 03:44:26","2023-03-25 02:58:58",basico+carry_on+grande,Aleatorio,2022-12-28,763,"tarjeta de credito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,LATAM,GRU,UIO,"2 escalas","2023-03-05 10:09:36","2023-03-06 17:11:38",basico+carry_on+grande,Aleatorio,2022-12-28,840,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,LATAM,SCL,BOG,"2 escalas","2023-03-12 14:46:44","2023-03-16 07:11:10",basico+carry_on+grande,Aleatorio,2022-12-28,586,"tarjeta debito"
Hortensia,"Breache Isham",hisham1m@t.co,LATAM,VVI,LIM,"1 escala","2023-03-03 01:47:58","2023-03-20 13:54:09",basico+carry_on+grande,Aleatorio,2022-12-28,487,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,GOL,GRU,SCL,"1 escala","2023-01-24 00:43:07","2023-01-12 07:34:10",basico+carry_on+extragrande,Aleatorio,2022-12-28,940,"tarjeta de credito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,"SKY Airline",UIO,UIO,"1 escala","2023-01-20 04:21:28","2023-01-08 01:17:34",basico+carry_on+extragrande,Aleatorio,2022-12-28,480,"tarjeta debito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,JetSmart,EZE,VVI,"1 escala","2023-01-14 10:36:29","2023-01-16 11:12:59",basico+carry_on+extragrande,Aleatorio,2022-12-28,441,paypal
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,Easyfly,SCL,VVI,"1 escala","2023-01-07 00:03:32","2023-01-17 03:09:10",basico+carry_on+extragrande,Aleatorio,2022-12-28,619,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,LIM,LIM,"2 escalas","2023-02-23 16:17:37","2023-02-02 17:12:47",basico+carry_on+extragrande,Aleatorio,2022-12-28,465,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,UIO,GRU,"sin escalas","2023-02-22 12:02:53","2023-02-21 05:59:19",basico+carry_on+extragrande,Aleatorio,2022-12-28,688,paypal
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,GOL,VVI,GRU,"sin escalas","2023-02-14 07:19:03","2023-02-03 16:30:36",basico+carry_on+extragrande,Aleatorio,2022-12-28,729,"tarjeta debito"
Margery,"Frammingham Kosel",mkosel6@skype.com,LATAM,UIO,EZE,"3 escalas","2023-02-16 16:34:10","2023-02-01 15:00:40",basico+carry_on+extragrande,Aleatorio,2022-12-28,947,"tarjeta debito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,"SKY Airline",LIM,LIM,"2 escalas","2023-03-06 01:09:20","2023-03-17 02:08:18",basico+carry_on+extragrande,Aleatorio,2022-12-28,454,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,LATAM,LIM,VVI,"3 escalas","2023-03-12 16:12:27","2023-03-14 06:34:08",basico+carry_on+extragrande,Aleatorio,2022-12-28,551,"tarjeta debito"
