nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,equipaje,asiento,fecha,precio_final,pago
Ardelis,"Joost Jelf",ajelf8@prlog.org,LATAM,GRU,UIO,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-28,840,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,GOL,GRU,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-28,940,"tarjeta de credito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,LATAM,BOG,SCL,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-28,649,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,JetSmart,BOG,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-12-28,886,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,LIM,VVI,"3 escalas",basico+carry_on,Aleatorio,2022-12-28,701,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,LATAM,LIM,VVI,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-28,551,"tarjeta debito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,"SKY Airline",LIM,EZE,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-28,834,paypal
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,JetSmart,LIM,BOG,"2 escalas",basico+carry_on,Aleatorio,2022-12-28,695,"tarjeta de credito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,LATAM,LIM,UIO,"1 escala",basico,Aleatorio,2022-12-28,626,"tarjeta de credito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,LATAM,SCL,UIO,"2 escalas",posterior+mano,Posterior,2022-12-28,723,paypal
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,LATAM,SCL,BOG,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-28,586,"tarjeta debito"
Fernanda,"Masias Rosinelli",f.masias@hotmail.com,Easyfly,SCL,GRU,"1 escala",basico,Aleatorio,2022-12-28,680,"tarjeta debito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,Easyfly,SCL,VVI,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-28,619,"tarjeta de credito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,Easyfly,SCL,LIM,"sin escalas",posterior+mano,Posterior,2022-12-28,586,"tarjeta debito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,JetSmart,SCL,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-12-28,782,"tarjeta de credito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,GOL,VVI,GRU,"3 escalas",basico,Aleatorio,2022-12-28,678,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,GOL,VVI,VVI,"2 escalas",posterior+mano,Posterior,2022-12-28,749,"tarjeta debito"
Camila,"Alvarez Cueva",camila_24@hotmail.com,"SKY Airline",VVI,UIO,"2 escalas",basico+carry_on,Aleatorio,2022-12-28,716,"tarjeta debito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,LATAM,VVI,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-12-28,835,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,GOL,VVI,LIM,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-28,831,"tarjeta de credito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,LATAM,VVI,VVI,"1 escala",basico,Aleatorio,2022-12-28,751,paypal
Mariana,"Hoyos Saavedra",marianita@gmail.com,GOL,VVI,GRU,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-28,803,"tarjeta debito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,GOL,VVI,GRU,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-28,729,"tarjeta debito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,"SKY Airline",VVI,BOG,"sin escalas",basico,Aleatorio,2022-12-28,775,"tarjeta debito"
Josiah,"Buckam Bedder",jbedderg@php.net,LATAM,VVI,GRU,"sin escalas",basico+carry_on,Aleatorio,2022-12-28,749,"tarjeta de credito"
Dimitri,"Guille Arter",darteri@europa.eu,Easyfly,VVI,LIM,"sin escalas",posterior+mano,Posterior,2022-12-28,513,paypal
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,GOL,UIO,SCL,"3 escalas",posterior+mano,Posterior,2022-12-28,588,paypal
Margery,"Frammingham Kosel",mkosel6@skype.com,LATAM,UIO,EZE,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-28,947,"tarjeta debito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,GOL,UIO,UIO,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-28,827,paypal
